Trial,Samples,Time,s/sec.,avg.,std.
1,969,41.33816732,23.44080696,23.50023714,0.037822203
2,1025,43.74031653,23.43375817,,
3,984,41.87647478,23.49767991,,
4,1027,43.64817204,23.52904949,,
5,1000,42.50090445,23.52891104,,
6,851,36.18440157,23.51842128,,
7,718,30.50900622,23.53403434,,
8,886,37.67129175,23.51923597,,
,,,,,
,,,,,
,,,,,
Sampling Rate (samples/sec.),,,,,
,,,,,
Mean,23.50023714,,,,
Standard Error,0.014295449,,,,
Median,23.51882863,,,,
Mode,#N/A,,,,
Standard Deviation,0.040433636,,,,
Sample Variance,0.001634879,,,,
Kurtosis,-0.421178641,,,,
Skewness,-1.166276732,,,,
Range,0.100276165,,,,
Minimum,23.43375817,,,,
Maximum,23.53403434,,,,
Sum,188.0018972,,,,
Count,8,,,,
Confidence Level(95.0%),0.033803366,,,,
